Date,Open,High,Low,Close,Volume,temp,Date2,ang,ang2,data_x,data_x2,data_x3
20170816,27250,32450,27100,31500,3341469,-4.7,1994.01,-4.7,10,7,7,0
20170814,25700,26800,24400,26750,1384477,-3.2,1994.02,-3.2,6.2,5,6,0
20170811,25300,25750,24050,24950,2019038,-0.1,1994.03,-0.1,6,3,5,0
20170810,28100,28450,26500,26500,1105526,10,1994.04,10,5.8,0,4,0
20170809,26850,29600,25500,28200,3964347,13.4,1994.05,13.4,5.3,-9,3,0
20170808,30900,30900,26350,27650,3437793,18.1,1994.06,18.1,4.1,-8,2,0
20170807,32000,35000,31000,31000,1054140,25.3,1994.07,25.3,3,-7,1,0
20170804,29850,31950,28000,31000,1156550,24.4,1994.08,24.4,2.33,-6,0,0
20170803,27500,33300,27500,32000,1657395,16.7,1994.09,16.7,2,-5,0,0
20170802,25900,26800,25150,26800,855357,11.3,1994.1,11.3,1,-4,0,0
20170801,24050,26450,24050,25050,894004,5.4,1994.11,,0,-3,0,0
20170731,21100,27000,21100,24550,1605660,-2.4,1994.12,,-2.4,-2,0,0
20170728,19700,21800,19000,21450,3578814,-5.7,1995.01,,-5.7,-1,0,0
20170727,19150,22000,18550,20000,6636327,-2.8,1995.02,,-2.8,0,0,1
20170726,15350,18850,14850,18850,5925161,2.2,1995.03,,2.2,0,0,2
20170725,14150,14550,13800,14500,293273,6.5,1995.04,,6.5,0,0,3
20170724,14150,14300,13750,14000,200153,12.1,1995.05,,12.1,0,0,4
20170721,13600,14100,13500,14000,247799,17.5,1995.06,,17.5,0,0,5
20170720,13400,13700,13150,13600,136267,21.7,1995.07,,21.7,0,0,6
20170719,13050,13400,12900,13400,137537,23.4,1995.08,,23.4,10,0,9
20170718,13000,13100,12800,13000,121317,15.7,1995.09,,15.7,9,0,11
20170717,12150,13000,12100,13000,226599,10.7,1995.1,,10.7,7,0,12
20170714,12450,12450,12150,12200,57603,1.8,1995.11,,1.8,5,0,15
20170713,12150,12550,12150,12350,66797,-4.4,1995.12,,-4.4,3,0,20
20170712,12400,12600,12200,12300,66931,-5.6,1996.01,,-5.6,2,0,18
20170711,12350,12500,12250,12350,64128,-5.5,1996.02,,-5.5,1,0,17
20170710,12400,12450,12150,12200,81223,1,1996.03,,1,0,0,16
20170707,12250,12500,12100,12300,66542,5.9,1996.04,,5.9,0,0,15
20170706,11800,12750,11800,12350,311524,13.3,1996.05,,13.3,0,0,14
20170705,11750,11850,11700,11800,68661,19.1,1996.06,,19.1,0,0,10
