Date,__,____,____,temp,____,___(mm),__,__,______(hPa),_____(℃),____(10%),____(hr),_____(�B),____,____,______
1994.01,-9,6.6,10,-4.7,-12.3,6.5,58,18,"1,023.60",-8.8,4.5,155.5,3.1,2.3,9.3,…
1994.02,0.8,4.9,11.4,-3.2,-10.8,14.8,55,12,"1,020.90",-8.1,3.8,175.7,9.3,2.5,9.7,…
1994.03,4,10.1,18.6,-0.1,-5.5,31.7,60,13,"1,022.30",-4,4,215.7,1.5,3.2,9.7,…
1994.04,15.2,20.8,28.9,10,5.7,44.9,53,14,"1,014.40",4.6,4.4,222,-,2.4,10.3,…
1994.05,17.9,22.5,28,13.4,8.3,152.4,67,17,"1,008.30",10.6,4.9,215.3,-,2.8,10.3,…
1994.06,22.8,27.4,34.7,18.1,13.4,85,68,25,"1,008.20",15.9,5.5,217.9,-,2.2,8.3,…
1994.07,28.5,33.1,38.4,25.3,21.3,139.5,79,31,"1,006.50",24.1,6.1,191.5,-,2.1,8.2,…
1994.08,27.6,31.1,37,24.4,19,232.7,76,34,"1,009.90",22.5,6,205.6,-,2.2,8.3,…
1994.09,21,26.7,32,16.7,12.1,60.7,69,28,"1,011.80",14.5,3.8,231.6,-,1.9,7,…
1994.1,15.2,19.7,25.9,11.3,3.2,214.5,71,23,"1,019.30",9.4,4.1,187.1,-,2,10.3,…
1994.11,9.3,14.9,19.8,5.4,-2.2,49.6,63,15,"1,025.10",1.9,4.1,153.8,-,2,8.2,…
1994.12,1.1,9.4,12.4,-2.4,-12.6,23.5,60,20,"1,027.20",-6.5,4.1,155.7,0.8,2.3,7,…
1995.01,-2.1,1.8,10.3,-5.7,-11.1,11.6,52,14,"1,024.70",-11.5,2.9,190.8,4.2,2.6,8.7,…
1995.02,1.2,6,9.9,-2.8,-7.9,5.2,56,11,"1,023.90",-7.5,2.2,199.8,0.8,2.2,6.5,…
1995.03,6,10.3,17.1,2.2,-3.6,60.6,64,12,"1,018.10",-1.2,5.4,153.1,0.5,2.8,10.3,…
1995.04,11.3,16.7,25.2,6.5,-0.4,44.4,53,12,"1,015.20",0.6,3.8,239.8,-,3.1,8.7,…
1995.05,17.1,22.1,29,12.1,6.3,60.6,58,10,"1,011.70",7.5,4.7,225.5,-,2.7,9.7,…
1995.06,21.6,26.3,29.6,17.5,12.1,70.7,71,21,"1,007.10",15.5,6.2,202.7,-,2,5.7,…
1995.07,24.5,27.8,33.6,21.7,17.7,436.1,81,36,"1,007.10",20.7,7.6,146.7,-,2.5,7.7,…
1995.08,26,29.2,33.7,23.4,18.8,786.6,85,38,"1,009.40",23,7.4,137.3,-,2.4,8,…
1995.09,20,24.5,28.4,15.7,10.7,47.2,68,24,"1,013.80",13.3,4.9,195,-,1.6,9.3,…
1995.1,15.5,20.6,25.6,10.7,4.2,39.3,61,16,"1,019.20",7.1,4.1,216.1,-,1.7,8,…
1995.11,6.2,11.5,18.6,1.8,-4.3,32.9,57,13,"1,020.40",-2.5,2.6,200.1,0.6,2.3,8.3,…
1995.12,-1,3,6.9,-4.4,-10.3,3.4,55,20,"1,026.00",-9.5,2.8,183.7,3.1,2.2,7.7,…
1996.01,-2.2,2.3,9.8,-5.6,-10.7,16.3,51,10,"1,024.60",-12.1,3.6,188.3,3.2,2.4,8.2,…
1996.02,-1.6,3.2,14,-5.5,-13.8,1,47,10,"1,024.50",-12.6,3,180.4,0.4,2.7,7.8,…
